NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Study Type,URL
NCT04819165,Healthcare-associated Infections in Severe COVID-19 During 2020,COVIACS,Completed,No Results Available,"Respiration, Artificial|COVID-19|Health Care Associated Infection",Other: COVID-19,All,"18 Years and older   (Adult, Older Adult)",,252,Observational,https://ClinicalTrials.gov/show/NCT04819165
NCT04596943,RGD PET/CT Imaging in COVID-19 Patients,,Completed,No Results Available,Covid19|Endothelial Dysfunction|PET Imaging,Diagnostic Test: [68Ga]Ga-DOTA-(RGD)2 PET/CT,All,"18 Years and older   (Adult, Older Adult)",,10,Observational,https://ClinicalTrials.gov/show/NCT04596943
NCT04356937,Efficacy of Tocilizumab on Patients With COVID-19,,Completed,No Results Available,SARS-CoV 2,Drug: Tocilizumab|Drug: Placebos,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 3,243,Interventional,https://ClinicalTrials.gov/show/NCT04356937
NCT04316299,Acute Kidney Injury in Patients Hospitalized With COVID-19,,Completed,No Results Available,COVID-19|Acute Kidney Injury|Kidney Function,,All,"18 Years and older   (Adult, Older Adult)",,287,Observational,https://ClinicalTrials.gov/show/NCT04316299
NCT04525742,COVID-19 Pandemic and Parents of Disabled Children,,Completed,No Results Available,COVID-19|Disabilities Multiple|Cerebral Palsy|Muscular Dystrophies,Other: Difficulties lived by disabled children's parents in the period of COVID-19 pandemic,All,"18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,309,Interventional,https://ClinicalTrials.gov/show/NCT04525742
NCT04364594,COVID-19 Search in Conjunctival Cells,COVID-T,Completed,No Results Available,COVID 19|Pulmonary Disease,Diagnostic Test: conjunctival swab,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,50,Interventional,https://ClinicalTrials.gov/show/NCT04364594
NCT04407507,"Efficacy, Safety and Tolerability of Ivermectin in Subjects Infected With SARS-CoV-2 With or Without Symptoms",SILVERBULLET,Completed,Has Results,COVID-19,Drug: Ivermectin|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,66,Interventional,https://ClinicalTrials.gov/show/NCT04407507
NCT04495764,Registry of Sustained Immunity to COVID-19 Among ESKD Patients,RePAiR,Completed,No Results Available,SARS-CoV-2 Infection|Anti-SARS-CoV-2 Infection,,All,"18 Years to 80 Years   (Adult, Older Adult)",,2504,Observational,https://ClinicalTrials.gov/show/NCT04495764
NCT04379661,SUNLIGHT Study: Online Support Groups for MS to Address COVID-19,,Completed,No Results Available,MS (Multiple Sclerosis)|COVID-19|Support Groups,Behavioral: Online support Group,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,32,Interventional,https://ClinicalTrials.gov/show/NCT04379661
NCT04336345,Outcomes of Patients With COVID-19 in the Intensive Care Unit,MexCOVID-19,Completed,No Results Available,Coronavirus Infections|COVID-19|Viral Pneumonia Human Coronavirus,,All,"18 Years and older   (Adult, Older Adult)",,150,Observational,https://ClinicalTrials.gov/show/NCT04336345
NCT04387838,Study of the SARS-COV-2 (COVID-19) Serological Profile of an Army Training Hospital Staff,SEROSARSCOV,Completed,No Results Available,Sars-CoV2,Diagnostic Test: Anti-SARS-CoV2 Serology|Other: Questionnaire,All,18 Years to 62 Years   (Adult),,845,Observational,https://ClinicalTrials.gov/show/NCT04387838
NCT04659876,Factors Affecting Mortality in Critical Patients Admitted to Intensive Care Unit Due to COVID 19,,Completed,No Results Available,Covid19 and Mortality,Diagnostic Test: clinical features and laboratory values,All,"18 Years and older   (Adult, Older Adult)",,445,Observational,https://ClinicalTrials.gov/show/NCT04659876
NCT04360954,Evaluation of Antibody Tests for COVID-19,,Completed,No Results Available,COVID|Coronavirus,Diagnostic Test: Diagnostic test,All,"18 Years and older   (Adult, Older Adult)",,461,Observational,https://ClinicalTrials.gov/show/NCT04360954
NCT04876898,High Body Mass Index and Severity of Coronavirus,,Completed,No Results Available,COVID-19 Pneumonia,Other: prospective cohort in high body mass index patient with covid 19,All,"18 Years to 75 Years   (Adult, Older Adult)",,114,Observational,https://ClinicalTrials.gov/show/NCT04876898
NCT04355728,Use of UC-MSCs for COVID-19 Patients,,Completed,No Results Available,"Corona Virus Infection|ARDS|ARDS, Human|Acute Respiratory Distress Syndrome|COVID-19",Biological: Umbilical Cord Mesenchymal Stem Cells + Heparin along with best supportive care.|Other: Vehicle + Heparin along with best supportive care,All,"18 Years and older   (Adult, Older Adult)",Phase 2,24,Interventional,https://ClinicalTrials.gov/show/NCT04355728
NCT04376710,Surgical Telemedicine in the COVID-19 Pandemic Era,,Completed,No Results Available,COVID|Surgery,Other: Completion of pre-pandemic survey|Other: Completion of survey after peak of pandemic|Other: Completion of post telemedicine encounter survey,All,"31 Days to 18 Years   (Child, Adult)",,180,Observational,https://ClinicalTrials.gov/show/NCT04376710
NCT04527354,Pilot Study to Assess Efficacy and Safety of Treamid in the Rehabilitation of Patients After COVID-19 Pneumonia,,Completed,No Results Available,SARS-CoV-2 Infection|Fibrosis Lung,Drug: Treamid|Drug: Placebo,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,60,Interventional,https://ClinicalTrials.gov/show/NCT04527354
NCT04497818,Correlation Fear of COVID-19 & Dental Treatment Anxiety,,Completed,No Results Available,Covid19|Fear|Dental Anxiety,Other: Cross Sectional study using scientifically validated psychometric Scales,All,"20 Years and older   (Adult, Older Adult)",,385,Observational,https://ClinicalTrials.gov/show/NCT04497818
NCT04643522,Semen Parameters and COVID-19 in Infertile Men,,Completed,No Results Available,"Sperm Count, Low|Hormone Disturbance|Covid19",Other: Clinical assessment,Male,18 Years to 40 Years   (Adult),,21,Observational,https://ClinicalTrials.gov/show/NCT04643522
NCT04872725,The Effect of Covid-19 Process,,Completed,No Results Available,"Covid19|Participation, Patient",Behavioral: Time management & participation & the leisure time activity,All,"18 Years to 65 Years   (Adult, Older Adult)",,531,Observational,https://ClinicalTrials.gov/show/NCT04872725
NCT04535856,Therapeutic Study to Evaluate the Safety and Efficacy of DW-MSC in COVID-19 Patients,DW-MSC,Completed,No Results Available,Covid19|Corona Virus Infection|SAR,Drug: allogeneic mesenchymal stem cell|Other: Placebo,All,"19 Years and older   (Adult, Older Adult)",Phase 1,9,Interventional,https://ClinicalTrials.gov/show/NCT04535856
NCT04371562,Predicting Death and ICU Admission in COVID-19 Patients in ED,,Completed,No Results Available,COVID,,All,"18 Years and older   (Adult, Older Adult)",,300,Observational,https://ClinicalTrials.gov/show/NCT04371562
NCT04318431,Prevalence of SARS -Cov2 Carriage in Asymptomatic and Mildly-symptomatic Children,COVILLE,Completed,No Results Available,Covid19,Diagnostic Test: Data collection and rhinopharyngeal swab,All,up to 15 Years   (Child),Not Applicable,605,Interventional,https://ClinicalTrials.gov/show/NCT04318431
NCT04423991,Identification of a Responsive Subpopulation to Hydroxychloroquine in COVID-19 Patients Using Machine Learning,IDENTIFY,Completed,No Results Available,COVID-19|Coronavirus|Mortality,Device: COViage,All,"Child, Adult, Older Adult",Not Applicable,290,Interventional,https://ClinicalTrials.gov/show/NCT04423991
NCT04378712,Hydrogen/Oxygen Mixed Gas Inhalation for Coronavirus Disease 2019 (COVID-19),,Completed,No Results Available,Covid-19|Hydrogen/Oxygen Mixed Gas|Dyspnea,Device: Hydrogen Oxygen Generator with Nebulizer|Other: Standard-of-care,All,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,90,Interventional,https://ClinicalTrials.gov/show/NCT04378712
NCT04466462,Cross-sectional Study of COVID-19 Infection in Hospital Health Personnel,,Completed,No Results Available,SARS-CoV-2 Infection,,All,"18 Years and older   (Adult, Older Adult)",,1000,Observational,https://ClinicalTrials.gov/show/NCT04466462
NCT04390022,Sars-CoV-2/COVID-19 Ivermectin Navarra-ISGlobal Trial,SAINT,Completed,Has Results,Covid-19|Coronavirus Infection|SARS-CoV-2 Infection,Drug: Ivermectin|Drug: Placebo,All,18 Years to 59 Years   (Adult),Phase 2,24,Interventional,https://ClinicalTrials.gov/show/NCT04390022
NCT04615676,Prospective Evaluation of the Predictive Criteria of Severity for Respiratory Infection Due to COVID-19 Virus,COPREG,Completed,No Results Available,SARS-CoV2,Other: Follow-up phone call,All,"15 Years and older   (Child, Adult, Older Adult)",,4734,Observational,https://ClinicalTrials.gov/show/NCT04615676
NCT04555005,Mindfulness-based Crisis Intervention for COVID-19 Frontline Healthcare Workers During COVID-19,,Completed,No Results Available,Mindfulness|COVID-19|Healthcare Worker,Other: Mindfulness based intervention,All,"Child, Adult, Older Adult",Not Applicable,1000,Interventional,https://ClinicalTrials.gov/show/NCT04555005
NCT04512300,Parental Attitude Toward Children Dental Treatment During COVID-19 Pandemic,,Completed,No Results Available,Dental Treatment During Covid -19,,All,"Child, Adult, Older Adult",,267,Observational,https://ClinicalTrials.gov/show/NCT04512300
NCT04485169,Therapeutic Plasma Exchange for Coronavirus Disease-2019 Triggered Cytokine Release Storm;,Plex,Completed,No Results Available,COVID-19|Cytokine Release Syndrome,Procedure: Therapeutic Plasma Exchange,All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,280,Interventional,https://ClinicalTrials.gov/show/NCT04485169
NCT04869072,Convalescent Plasma Therapy - Zurich Protocol,CPT-ZHP,Completed,No Results Available,COVID-19,Drug: Convalescent plasma,All,"Child, Adult, Older Adult",Phase 1,30,Interventional,https://ClinicalTrials.gov/show/NCT04869072
NCT04645407,Effects of Fuzheng Huayu Tablets on COVID-19,,Completed,No Results Available,Novel Coronavirus Pneumonia,Drug: Fuzheng Huayu tablet,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 4,66,Interventional,https://ClinicalTrials.gov/show/NCT04645407
NCT04352959,COVID-19: Nasal and Salivary Detection of the SARS-CoV-2 Virus After Antiviral Mouthrinses,BBCovid,Completed,No Results Available,COVID19|Mouthwash|Saliva,Device: mouthrinse with bêta-cyclodextrin and citrox|Device: mouthrinse without bêta-cyclodextrin and citrox,All,"18 Years to 85 Years   (Adult, Older Adult)",Not Applicable,176,Interventional,https://ClinicalTrials.gov/show/NCT04352959
NCT04405570,"A Safety, Tolerability and Efficacy of Molnupiravir (EIDD-2801) to Eliminate Infectious Virus Detection in Persons With COVID-19",,Completed,No Results Available,SARS-CoV 2,Drug: EIDD-2801|Drug: Placebo (PBO),All,"18 Years and older   (Adult, Older Adult)",Phase 2,204,Interventional,https://ClinicalTrials.gov/show/NCT04405570
NCT04336384,Impact of Covid-19 in Congenital Heart Disease,COVID-CHD,Completed,No Results Available,Congenital Heart Disease|Covid-19,,All,"Child, Adult, Older Adult",,5000,Observational,https://ClinicalTrials.gov/show/NCT04336384
NCT04832945,SARS-CoV-2 Pre-exposure Prophylaxis With Ivermectin Retrospective Cohort Study,,Completed,No Results Available,Covid19,Drug: Ivermectin 6 Mg Oral Tablet,All,"18 Years and older   (Adult, Older Adult)",,713,Observational,https://ClinicalTrials.gov/show/NCT04832945
NCT04713111,Stress and Recovery in Frontline COVID-19 Workers,,Completed,No Results Available,Covid19|Stress|Wearables,Behavioral: Lifestyle (Meditation)|Behavioral: Lifestyle (Exercise),All,"18 Years and older   (Adult, Older Adult)",Not Applicable,383,Interventional,https://ClinicalTrials.gov/show/NCT04713111
NCT04479644,"Safety, Tolerability, and Pharmacokinetics Study of Human Monoclonal Antibody BRII-198",,Completed,No Results Available,COVID-19,Drug: BRII-198|Drug: Placebo,All,18 Years to 49 Years   (Adult),Phase 1,17,Interventional,https://ClinicalTrials.gov/show/NCT04479644
NCT04479631,"Safety, Tolerability, and Pharmacokinetics Study of Human Monoclonal Antibody BRII-196",,Completed,No Results Available,COVID-19,Drug: BRII-196|Drug: Placebo,All,18 Years to 49 Years   (Adult),Phase 1,16,Interventional,https://ClinicalTrials.gov/show/NCT04479631
NCT04443140,Preeclampsia-like Syndrome Induced by COVID-19: Is it a Real Public Health Issue in Pregnancy During the Pandemic?,,Completed,No Results Available,Covid-19|Preeclampsia|Pregnancy Related,"Diagnostic Test: PCR, lung ultrasound",Female,18 Years to 40 Years   (Adult),,131,Observational,https://ClinicalTrials.gov/show/NCT04443140
NCT04473157,COVID-19 in Patients With Anosmia in Egypt,,Completed,No Results Available,Anosmia|Covid19|Dysgeusia,,All,"18 Years and older   (Adult, Older Adult)",,58,Observational,https://ClinicalTrials.gov/show/NCT04473157
NCT04872764,Acute Kidney Injury in Patients With CoVID-19,AKI-COVID-19,Completed,No Results Available,Covid19|Acute Kidney Injury,"Other: duration of hospitalization, mortality rate",All,"18 Years to 80 Years   (Adult, Older Adult)",,600,Observational,https://ClinicalTrials.gov/show/NCT04872764
NCT04690920,Theranostic Implication of Complementary Medicines Against Interleukin Receptors and Gp-130 Proteins,,Completed,No Results Available,Corona Virus Disease 2019 (COVID-19),Drug: Tocilizumab,All,"Child, Adult, Older Adult",Not Applicable,200,Interventional,https://ClinicalTrials.gov/show/NCT04690920
NCT04771117,Defiances to Face COVID-19 Pandemic in Mexico,,Completed,No Results Available,Health Behavior|Risk-Taking|Covid19,Behavioral: Fear of Covid-19 Scale,All,"16 Years and older   (Child, Adult, Older Adult)",,4004,Observational,https://ClinicalTrials.gov/show/NCT04771117
NCT04399980,Mavrilimumab to Reduce Progression of Acute Respiratory Failure in COVID-19 Pneumonia and Systemic Hyper-inflammation,,Completed,Has Results,COVID 19|SARS-CoV 2|Pneumonia,Drug: Mavrilimumab|Drug: Placebos,All,"18 Years and older   (Adult, Older Adult)",Phase 2,40,Interventional,https://ClinicalTrials.gov/show/NCT04399980
NCT04789447,"Evaluation of Prognosis of COVID-19 Patients With Only CT Findings, Only RT-PCR Positivity and Both of Them Positive",,Completed,No Results Available,"Covid19|SARS-CoV Infection|Pneumonia, Viral",,All,"18 Years and older   (Adult, Older Adult)",,909,Observational,https://ClinicalTrials.gov/show/NCT04789447
NCT04341766,Evolution of Pulmonary Ultrasound in Patients Hospitalized for Covid (Coronavirus Disease) 19,,Completed,No Results Available,"Pneumonia, Viral|COVID-19",Other: No special intervention,All,"18 Years to 105 Years   (Adult, Older Adult)",,106,Observational,https://ClinicalTrials.gov/show/NCT04341766
NCT04729491,EAT-DUTA AndroCoV Trial,,Completed,No Results Available,Covid19,Drug: Dutasteride 0.5 mg|Drug: Azithromycin|Drug: Nitazoxanide|Drug: Placebo,Male,"18 Years and older   (Adult, Older Adult)",Phase 3,138,Interventional,https://ClinicalTrials.gov/show/NCT04729491
NCT04453501,Anti Infective Agents Impact in COVID-19 Pneumonia,AZITHROVID,Completed,No Results Available,"COVID|Pneumonia, Viral",Drug: favorable outcome,All,"18 Years and older   (Adult, Older Adult)",,132,Observational,https://ClinicalTrials.gov/show/NCT04453501
NCT04701710,Prophylaxis Covid-19 in Healthcare Agents by Intensive Treatment With Ivermectin and Iota-carrageenan,Ivercar-Tuc,Completed,No Results Available,Covid19|SARS (Severe Acute Respiratory Syndrome),Drug: Ivermectin / Iota-Carrageenan,All,18 Years to 60 Years   (Adult),Phase 2,300,Interventional,https://ClinicalTrials.gov/show/NCT04701710
NCT04412278,Impact of COVID-19 Pandemic on Perceived Exercise Benefits and Barriers,,Completed,No Results Available,"COVID|Isolation, Social",Other: Online Survey,All,"15 Years to 65 Years   (Child, Adult, Older Adult)",,392,Observational,https://ClinicalTrials.gov/show/NCT04412278
NCT04873141,Tocilizumab and Cytokine Release Syndrome (CRS) In Covid-19 Pneumonia,,Completed,No Results Available,Cytokine Release Syndrome|Covid-19 Pneumonia,Drug: Tocilizumab 200 Mg/10 mL (20 Mg/mL) INTRAVEN VIAL (ML),All,"18 Years and older   (Adult, Older Adult)",,24,Observational,https://ClinicalTrials.gov/show/NCT04873141
NCT04525417,Rapid Screening Test for Covid-19 Antibodies in Healthcare Workers,,Completed,No Results Available,Covid-19 Immune Status of Healthcare Workers,Diagnostic Test: AAZ Covid-19 rapid test,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,75,Interventional,https://ClinicalTrials.gov/show/NCT04525417
NCT04812496,Tenofovir-DF Versus Hydroxychloroquine in the Treatment of Hospitalized Patients With COVID-19 (TEDHICOV),TEDHICOV,Completed,No Results Available,Covid19|SARS-CoV Infection|Tenofovir,,All,"18 Years and older   (Adult, Older Adult)",,100,Observational,https://ClinicalTrials.gov/show/NCT04812496
NCT04401085,COVID-19: Herd Immunity Study in the Czech Republic,SARSCoV2CZPrev,Completed,No Results Available,COVID|SARS-CoV 2,Diagnostic Test: SARS-CoV-2 diagnostic rapid test|Diagnostic Test: Quantitative analysis of SARS-CoV-2 antibodies,All,"8 Years to 89 Years   (Child, Adult, Older Adult)",,27000,Observational,https://ClinicalTrials.gov/show/NCT04401085
NCT04433039,COVID19 Versus H1N1: Radiological Challenge During Next Influenza Season Rising,,Completed,No Results Available,COVID,,All,"4 Years to 80 Years   (Child, Adult, Older Adult)",,130,Observational,https://ClinicalTrials.gov/show/NCT04433039
NCT04893031,"Effect of Tocilizumab on Intensive Care Patients With COVID-19 Pneumonia, a Retrospective Cohort Study",,Completed,No Results Available,Tocilizumab|COVID-19|Critical Care|Mortality,Drug: Tocilizumab,All,"18 Years and older   (Adult, Older Adult)",,213,Observational,https://ClinicalTrials.gov/show/NCT04893031
NCT04561219,Nitazoxanide Therapy for Patients With COVID-19 Pneumonia,,Completed,No Results Available,"Covid19|Corona Virus Infection|Pneumonia, Viral",Drug: Nitazoxanide|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,500,Interventional,https://ClinicalTrials.gov/show/NCT04561219
NCT04716088,Rapid Antigen Testing for SARS-CoV-2 Among Healthcare Workers to Prevent Spread of COVID-19,,Completed,No Results Available,SARS-CoV-2 Rapid Antigen Test,Diagnostic Test: Rapid antigen test for SARS CoV2,All,"18 Years to 65 Years   (Adult, Older Adult)",,36,Observational,https://ClinicalTrials.gov/show/NCT04716088
NCT04370171,Management of Diabetic Patients With Telemedicine in the Context of the Covid-19 Epidemic,TeleCoviDiab,Completed,No Results Available,Diabetes|Covid-19,Other: care modalities|Other: Teleconsultation either by phone or by computer consultation,All,"18 Years and older   (Adult, Older Adult)",,610,Observational,https://ClinicalTrials.gov/show/NCT04370171
NCT04347382,Honey & Nigella Sativa Trial Against COVID-19,HNS-COVID-PK,Completed,No Results Available,Coronavirus Infection|Sars-CoV2,Drug: Honey|Drug: Nigella Sativa / Black Cumin|Drug: Placebos,All,"18 Years and older   (Adult, Older Adult)",Phase 3,313,Interventional,https://ClinicalTrials.gov/show/NCT04347382
NCT04365153,Canakinumab in Covid-19 Cardiac Injury (The Three C Study),,Completed,Has Results,COVID-19|SARS-CoV 2,Drug: Canakinumab Injection 600mg|Drug: Canakinumab Injection 300mg|Drug: Placebos,All,"18 Years and older   (Adult, Older Adult)",Phase 2,45,Interventional,https://ClinicalTrials.gov/show/NCT04365153
NCT04389294,HSS Covid-19 Antibody Serology Among Surgeons & Anesthesiologists,,Completed,No Results Available,COVID,Diagnostic Test: SARS-CoV2 serum antibody testing,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,143,Interventional,https://ClinicalTrials.gov/show/NCT04389294
NCT04609462,High-Flow Nasal Cannula in Severe COVID-19 With Acute Hypoxemic Respiratory Failure.,HiFlo-COVID,Completed,No Results Available,Covid19|Acute Hypoxemic Respiratory Failure,Procedure: Conventional oxygen therapy|Procedure: High flow nasal cannula,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,199,Interventional,https://ClinicalTrials.gov/show/NCT04609462
NCT04780594,Impact of the COVID-19 Pandemic on the Surgical Activity of Bellvitge University Hospital,,Completed,No Results Available,Covid19|Surgery--Complications|Nosocomial Infection,"Procedure: The study evaluates all surgical patients operated, both elective scheduled and emergent cases",All,"18 Years and older   (Adult, Older Adult)",,2530,Observational,https://ClinicalTrials.gov/show/NCT04780594
NCT04491240,Evaluation of Safety and Efficiency of Method of Exosome Inhalation in SARS-CoV-2 Associated Pneumonia.,COVID-19EXO,Completed,Has Results,Covid19|SARS-CoV-2 PNEUMONIA|COVID-19,Drug: EXO 1 inhalation|Drug: EXO 2 inhalation|Drug: Placebo inhalation,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,30,Interventional,https://ClinicalTrials.gov/show/NCT04491240
NCT04346342,PRactice of VENTilation in COVID-19 Patients (PRoVENT-COVID),,Completed,No Results Available,COVID|Mechanical Ventilation|Acute Respiratory Failure,,All,"18 Years and older   (Adult, Older Adult)",,1122,Observational,https://ClinicalTrials.gov/show/NCT04346342
NCT04415879,Effects of a N95 Respirator vs Cloth Mask on Exercise Capacity During Treadmill Exercise.,,Completed,No Results Available,COVID-19,Device: N-95 Respirator|Device: Cloth Face Mask|Diagnostic Test: Graded exercise test,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,20,Interventional,https://ClinicalTrials.gov/show/NCT04415879
NCT04374422,COVID-19 Pandemic and Female Sexual Behavior,,Completed,No Results Available,Sexual Behavior|COVID,Behavioral: fsfi survey,Female,"18 Years and older   (Adult, Older Adult)",,58,Observational,https://ClinicalTrials.gov/show/NCT04374422
NCT04382040,"A Phase II, Controlled Clinical Study Designed to Evaluate the Effect of ArtemiC in Patients Diagnosed With COVID-19",,Completed,No Results Available,COVID-19|Corona Virus Infection|SARS-CoV 2|Coronavirus|Coronavirus Infection,Drug: ArtemiC|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,50,Interventional,https://ClinicalTrials.gov/show/NCT04382040
NCT04339712,Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,ESCAPE,Completed,No Results Available,COVID-19|Virus Diseases|Macrophage Activation Syndrome|Corona Virus Infection,Drug: Anakinra|Drug: Tocilizumab,All,"18 Years and older   (Adult, Older Adult)",Phase 2,102,Interventional,https://ClinicalTrials.gov/show/NCT04339712
NCT04697030,Burnout Among Adolescent Population During Covid-19 Lockdown in Pakistan,,Completed,No Results Available,"Burnout, Psychological|Covid-19 Pandemic",,All,"13 Years to 19 Years   (Child, Adult)",,443,Observational,https://ClinicalTrials.gov/show/NCT04697030
NCT04609774,Aerosol Transmission of Severe Acute Respiratory Syndrome Coronavirus of Coronavirus Disease 2019,COVID-19,Completed,No Results Available,Coronavirus Disease (COVID-19),Other: Severe Acute Respiratory Syndrome CoronaVirus 2 detection,All,"18 Years and older   (Adult, Older Adult)",,8,Observational,https://ClinicalTrials.gov/show/NCT04609774
NCT04472052,Frequency of Perforated Appendicitis in Times of COVID-19,,Completed,No Results Available,Perforated Appendicitis|Covid19,Other: appendectomy,All,"16 Years and older   (Child, Adult, Older Adult)",,143,Observational,https://ClinicalTrials.gov/show/NCT04472052
NCT04508556,Performance Assessment of SARS-CoV-2 Detection Breath Biopsy - SARS-CoV-2 Study,COVID,Completed,No Results Available,Covid19,Device: Breath Biopsy face masks with removable filters and fitted PVA strip|Diagnostic Test: Nasopharyngeal swab|Diagnostic Test: oropharyngeal swabs,All,"18 Years and older   (Adult, Older Adult)",,40,Observational,https://ClinicalTrials.gov/show/NCT04508556
NCT04830943,Cerebrolycin for Treatment of Covid-related Anosmia and Ageusia,,Completed,No Results Available,Covid19 Related Anosmia and Aguesia,Drug: Cerebrolysin,All,20 Years to 60 Years   (Adult),Phase 4,100,Interventional,https://ClinicalTrials.gov/show/NCT04830943
NCT04355702,Covid-19 in Lupus Patients,,Completed,No Results Available,Systemic Lupus Erythematosus|Covid-19,,All,"18 Years to 90 Years   (Adult, Older Adult)",,130,Observational,https://ClinicalTrials.gov/show/NCT04355702
NCT04601012,OCTA Study: Retinal Vascular Changes in Patients With SARS-CoV-2 Infection,,Completed,No Results Available,Covid19,Diagnostic Test: Optical coherence tomography angiography,All,18 Years to 60 Years   (Adult),,40,Observational,https://ClinicalTrials.gov/show/NCT04601012
NCT04625985,"Metformin Glycinate, Treatment of Patients With COVID-19 and Severe Acute Respiratory Syndrome Secondary to SARS-CoV-2.",DMMETCOV19-2,Completed,No Results Available,Severe Acute Respiratory Syndrome Coronavirus 2,Drug: Metformin Glycinate|Drug: Placebo oral tablet,All,"18 Years and older   (Adult, Older Adult)",Phase 2,20,Interventional,https://ClinicalTrials.gov/show/NCT04625985
NCT04292964,Prognostic Factors of Patients With COVID-19,,Completed,No Results Available,"SARS-CoV-2|Outcome, Fatal",,All,"18 Years and older   (Adult, Older Adult)",,201,Observational,https://ClinicalTrials.gov/show/NCT04292964
NCT04337346,Evaluation of Covid 19 Anxiety in Endometriosis Patients,,Completed,No Results Available,Endometriosis|Covid19,,Female,18 Years to 45 Years   (Adult),,80,Observational,https://ClinicalTrials.gov/show/NCT04337346
NCT04405999,Prevention of Infection and Incidence of COVID-19 in Medical Personnel Assisting Patients With New Coronavirus Disease,,Completed,No Results Available,Increased Risk of SARS-CoV-2 Infection,Drug: Bromhexine Hydrochloride,All,"18 Years and older   (Adult, Older Adult)",Phase 4,50,Interventional,https://ClinicalTrials.gov/show/NCT04405999
NCT04498442,"A Study on Prevalence, Protection and Recovery From COVID-19 in Seasoned Yoga Practitioners in Comparison to Age and Gender Matched Controls",,Completed,No Results Available,Covid19|Stress|Anxiety Depression,Behavioral: Simha Kriya|Behavioral: Reading a Book,All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,8519,Interventional,https://ClinicalTrials.gov/show/NCT04498442
NCT04701489,UNITE Study (UMN-GE) for COVID-19,,Completed,No Results Available,Covid19|Cytokine Storm|Inflammation,Device: Splenic ultrasound,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,30,Interventional,https://ClinicalTrials.gov/show/NCT04701489
NCT04374071,Early Short Course Corticosteroids in COVID-19,,Completed,No Results Available,"COVID|Pneumonia, Viral",Drug: Methylprednisolone,All,"18 Years and older   (Adult, Older Adult)",,250,Observational,https://ClinicalTrials.gov/show/NCT04374071
NCT04397900,Blood Collection Study From COVID-19 Convalescents Previously Hospitalized to Identify Immunogenic Viral Epitopes,,Completed,No Results Available,Identify the Viral Epitopes of Memory CD8 T Cells From Individuals That Have Recovered From SARS-CoV-2 Infection|Determine Which SARS-CoV-2 Proteins Are Frequently Recognized by T Cells in Patients With Varying HLA Types,,All,"Child, Adult, Older Adult",,80,Observational,https://ClinicalTrials.gov/show/NCT04397900
NCT04874753,The Effect of COVID-19 Pandemia on Follow up of Patients With Chronic Kidney Disease,COVID19-CKD,Completed,No Results Available,Covid19|Chronic Kidney Diseases|Proteinuria,Other: change in kidney function and proteinuria,All,"18 Years to 85 Years   (Adult, Older Adult)",,200,Observational,https://ClinicalTrials.gov/show/NCT04874753
NCT04756479,Mortality Due to COVID-19 in the COVID-AGEBRU Study,COVID-AGEBRU,Completed,No Results Available,"Covid19|Old Age; Debility|Morbidity, Multiple",,All,70 Years and older   (Older Adult),,160,Observational,https://ClinicalTrials.gov/show/NCT04756479
NCT04384406,COVID-19 Outbreak Consequences for Outpatients Followed in PRM,Handicall,Completed,No Results Available,Chronic Disabling|COVID-19,,All,"18 Years and older   (Adult, Older Adult)",,467,Observational,https://ClinicalTrials.gov/show/NCT04384406
NCT04390165,Malaysian COVID-19 Anosmia Study (Phase 1) - A Nationwide Multicentre Cross-Sectional Study,,Completed,No Results Available,SARS-CoV Infection|COVID-19|Anosmia|Dysgeusia,Other: Patient-Reported Online Questionnaire on Olfactory & Taste Disturbances,All,"18 Years and older   (Adult, Older Adult)",,498,Observational,https://ClinicalTrials.gov/show/NCT04390165
NCT04719234,Lung Ultrasonography in COVID-19 Pneumonia,,Completed,No Results Available,Lung Ultrasound|Pneumonia|Covid19,Device: lung ultrasonography,All,"18 Years to 85 Years   (Adult, Older Adult)",Not Applicable,60,Interventional,https://ClinicalTrials.gov/show/NCT04719234
