Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Completion Date,Start Date,Trial Duration,Primary Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
510,NCT04498936,Sofosbuvir/Ledipasvir and Nitazoxanide for Treatment of COVID-19,,Completed,No Results Available,COVID,Drug: Sofosbuvir and Ledipasvir|Drug: Nitazoxanide,Change of PCR from positive to negative|Clinical improvement|Adverse events,Assiut University|Helwan University,All,"12 Years to 65 Years Â  (Child, Adult, Older Adult)",Phase 4,240,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,COVID-19 treatment,30-Oct-20,15-Jul-20,107,30-Oct-20,5-Aug-20,,12-Nov-20,"15th May Hospital, Helwan, Cairo, Egypt|Assiut University Hospital, Assiut, Egypt",,https://ClinicalTrials.gov/show/NCT04498936
511,NCT04819165,Healthcare-associated Infections in Severe COVID-19 During 2020,COVIACS,Completed,No Results Available,"Respiration, Artificial|COVID-19|Health Care Associated Infection",Other: COVID-19,Incidence of health care associated infections in each group.|The most frequent pathogens in this population associated with Incidence of health care associated infections.|Possible factors associated with Incidence of health care associated infections.|mortality in UCI|Days of ICU stay|Days of mechanical ventilation,Sanatorio Anchorena San Martin,All,"18 Years and older Â  (Adult, Older Adult)",,252,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,21-May,31-Jan-21,1-Mar-20,336,31-Dec-20,26-Mar-21,,26-Mar-21,"Sanatorio Anchorena de San Martin, San MartÃ­n, Buenos Aires, Argentina",,https://ClinicalTrials.gov/show/NCT04819165
512,NCT04596943,RGD PET/CT Imaging in COVID-19 Patients,,Completed,No Results Available,Covid19|Endothelial Dysfunction|PET Imaging,Diagnostic Test: [68Ga]Ga-DOTA-(RGD)2 PET/CT,uptake of [68Ga]Ga-DOTA-(RGD)2 in the lung parenchyma|spatial correlation with chest-CT|spatial correlation with CT-subtraction|quantitative correlation with laboratory results|explore correlation with clinical parameters,Radboud University,All,"18 Years and older Â  (Adult, Older Adult)",,10,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,NL73551.091.20|2020-001325-31,1-Mar-21,15-Oct-20,137,1-Feb-21,22-Oct-20,,27-Apr-21,"Radboudumc, Nijmegen, Netherlands",,https://ClinicalTrials.gov/show/NCT04596943
513,NCT04356937,Efficacy of Tocilizumab on Patients With COVID-19,,Completed,No Results Available,SARS-CoV 2,Drug: Tocilizumab|Drug: Placebos,"The primary endpoint is the time from administration of the investigational agent (or placebo) to requiring mechanical ventilation and intubation, or death for subjects who die prior to intubation|Time from investigational medication (or placebo) to at least one point worsening on clinical improvement scale for subjects requiring supplemental oxygen (score >= 3) at baseline, or at least two point worsening otherwise (score = 2 at baseline|Time from administration of the investigational agent (or placebo) to absence of the need for supplemental oxygen among those who require at least supplemental oxygen at baseline","Massachusetts General Hospital|Genentech, Inc.",All,"18 Years to 85 Years Â  (Adult, Older Adult)",Phase 3,243,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",2020P001159,27-Aug-20,20-Apr-20,129,13-Jul-20,22-Apr-20,,16-Dec-20,"Massachusetts General Hospital, Boston, Massachusetts, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Newton-Wellesley Hospital, Newton, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT04356937
514,NCT04316299,Acute Kidney Injury in Patients Hospitalized With COVID-19,,Completed,No Results Available,COVID-19|Acute Kidney Injury|Kidney Function,,Rate of Acute Kidney Injury|Rate of Death|the length of hospital stay,Zhenhua Zen|Nanfang Hospital of Southern Medical University,All,"18 Years and older Â  (Adult, Older Adult)",,287,Other,Observational,Observational Model: Case-Control|Time Perspective: Retrospective,hkyy2020-005 AKI,8-Mar-20,26-Feb-20,11,28-Feb-20,20-Mar-20,,30-Mar-20,"Hankou Hospital, Wuhan, Hubei, China",,https://ClinicalTrials.gov/show/NCT04316299
515,NCT04525742,COVID-19 Pandemic and Parents of Disabled Children,,Completed,No Results Available,COVID-19|Disabilities Multiple|Cerebral Palsy|Muscular Dystrophies,Other: Difficulties lived by disabled children's parents in the period of COVID-19 pandemic,A questionnaire that we created will be used to determine the difficulties experienced by disabled children's parents during Covid 19 pandemic related to their medical follow-up|The Fear of COVID-19 Scale,Gaziosmanpasa Research and Education Hospital,All,"18 Years to 65 Years Â  (Adult, Older Adult)",Not Applicable,309,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening,105,15-Sep-20,5-Jul-20,72,30-Aug-20,25-Aug-20,,3-Nov-20,"Health Science University Gaziosmanpasa Training and Research Hospital, Ä°stanbul, Gaziosmanpasa, Turkey",,https://ClinicalTrials.gov/show/NCT04525742
516,NCT04364594,COVID-19 Search in Conjunctival Cells,COVID-T,Completed,No Results Available,COVID 19|Pulmonary Disease,Diagnostic Test: conjunctival swab,Conjunctival swab results based on RT-PCR|Conjunctival swab positivity in relation to Pulmonary and blood abnormalities,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,50,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,0013008/20,30-May-20,26-Mar-20,65,24-Apr-20,28-Apr-20,,23-Jul-20,"Maria Cristina Savastano, Roma, Italy",,https://ClinicalTrials.gov/show/NCT04364594
517,NCT04407507,"Efficacy, Safety and Tolerability of Ivermectin in Subjects Infected With SARS-CoV-2 With or Without Symptoms",SILVERBULLET,Completed,Has Results,COVID-19,Drug: Ivermectin|Drug: Placebo,"Participants With a Disease Control Status Defined as no Disease Progression to Severe.|SARS-CoV-2 Viral Load, at 5 and 14 Days|Presence and Frequency of Symptoms Associated With the COVID-19 Disease",Investigacion Biomedica para el Desarrollo de Farmacos S.A. de C.V.,All,"18 Years and older Â  (Adult, Older Adult)",Phase 2,66,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Care Provider)|Primary Purpose: Treatment,SARS-COV-IverMX-01,29-Jan-21,1-Jul-20,212,29-Jan-21,29-May-20,21-May-21,21-May-21,"Investigacion BiomÃ©dica para el Desarrollo de FÃ¡rmacos S.A. de C.V., Zapopan, Jalisco, Mexico","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/07/NCT04407507/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/07/NCT04407507/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT04407507
518,NCT04495764,Registry of Sustained Immunity to COVID-19 Among ESKD Patients,RePAiR,Completed,No Results Available,SARS-CoV-2 Infection|Anti-SARS-CoV-2 Infection,,Anti-SARS-CoV-2 antibodies|Incidence and severity of COVID-19,Davita Clinical Research,All,"18 Years to 80 Years Â  (Adult, Older Adult)",,2504,Industry,Observational,Observational Model: Cohort|Time Perspective: Prospective,20-M-0044-00,12-Feb-21,20-Jul-20,207,12-Feb-21,3-Aug-20,,21-Feb-21,"DCR Victorville, Victorville, California, United States|DCR Connecticut, Bridgeport, Connecticut, United States|DCR Twin Cities, Minneapolis, Minnesota, United States|DCR Las Vegas, Las Vegas, Nevada, United States|DCR Bronx, Bronx, New York, United States|DCR Canton, Canton, Ohio, United States|DCR El Paso, El Paso, Texas, United States|DCR Lewisville, Lewisville, Texas, United States|DCR San Antonio, San Antonio, Texas, United States|DCR San Antonio, San Antonio, Texas, United States|DCR Norfolk, Norfolk, Virginia, United States|DCR Milwaukee, Milwaukee, Wisconsin, United States",,https://ClinicalTrials.gov/show/NCT04495764
519,NCT04379661,SUNLIGHT Study: Online Support Groups for MS to Address COVID-19,,Completed,No Results Available,MS (Multiple Sclerosis)|COVID-19|Support Groups,Behavioral: Online support Group,Rate of completion|Rate of adherence|Score on the State Trait Anxiety Inventory (STAI),Columbia University,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,32,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,AAAS9939,31-Aug-20,7-May-20,116,7-Jul-20,7-May-20,,8-Jan-21,"Columbia University Medical Center, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04379661
520,NCT04336345,Outcomes of Patients With COVID-19 in the Intensive Care Unit,MexCOVID-19,Completed,No Results Available,Coronavirus Infections|COVID-19|Viral Pneumonia Human Coronavirus,,Hospital mortality|Length of stay in the intensive care unit,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,All,"18 Years and older Â  (Adult, Older Adult)",,150,Other,Observational,Observational Model: Cohort|Time Perspective: Cross-Sectional,3336,4-Jun-20,1-Apr-20,64,30-Apr-20,7-Apr-20,,10-Nov-20,"Instituto Nacional de Ciencias MÃ©dicas y NutriciÃ³n Salvador ZubirÃ¡n, Mexico City, Mexico|All centres from Mexico willing to contribute are Welcome., Mexico, Mexico",,https://ClinicalTrials.gov/show/NCT04336345
521,NCT04387838,Study of the SARS-COV-2 (COVID-19) Serological Profile of an Army Training Hospital Staff,SEROSARSCOV,Completed,No Results Available,Sars-CoV2,Diagnostic Test: Anti-SARS-CoV2 Serology|Other: Questionnaire,Anti-SARS-Cov2 seroconversion between Day 0 and Day 60.|Anti-SARS-Cov2 seroconversion between Day 0 and Day 30.|Anti-SARS-Cov2 seroconversion between Day 30 and Day 60.|Anti-SARS-Cov2 seroprevalence at Day 0.|Correlation between seroconversion and socio-demographic factors - sex|Correlation between seroconversion and socio-demographic factors - age|Correlation between seroconversion and professional factors - job type|Correlation between seroconversion and professional factors - personal protective equipment type|Correlation between seroconversion and non-professional factors - contact with infected individuals|Correlation between seroconversion and non-professional factors - wearing of professional equipment|Correlation between seroconversion and non-professional factors - respect of barrier gestures,Direction Centrale du Service de SantÃ© des ArmÃ©es,All,18 Years to 62 Years Â  (Adult),,845,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2020-COVID19-10|2020-A01028-31,15-Aug-20,14-May-20,93,15-Aug-20,14-May-20,,9-Mar-21,"HÃ´pital d'Instuction des ArmÃ©es Sainte-Anne, Toulon, France|HÃ´pital d'Instruction des ArmÃ©es Robert PicquÃ©, Villenave-d'Ornon, France",,https://ClinicalTrials.gov/show/NCT04387838
522,NCT04659876,Factors Affecting Mortality in Critical Patients Admitted to Intensive Care Unit Due to COVID 19,,Completed,No Results Available,Covid19 and Mortality,Diagnostic Test: clinical features and laboratory values,Mortality,Saglik Bilimleri Universitesi Gazi Yasargil Training and Research Hospital,All,"18 Years and older Â  (Adult, Older Adult)",,445,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,"September 11, 2020: 550",8-Dec-20,22-Mar-20,261,1-Sep-20,9-Dec-20,,9-Dec-20,"DiyarbakÄ±r Gazi YaÅŸargil Training and Research Hospital, DiyarbakÄ±r, Turkey",,https://ClinicalTrials.gov/show/NCT04659876
523,NCT04360954,Evaluation of Antibody Tests for COVID-19,,Completed,No Results Available,COVID|Coronavirus,Diagnostic Test: Diagnostic test,Test Sensitivity|Test Specificity,Washington University School of Medicine,All,"18 Years and older Â  (Adult, Older Adult)",,461,Other,Observational,Observational Model: Case-Only|Time Perspective: Retrospective,202004088,8-Jul-20,23-Apr-20,76,8-Jul-20,24-Apr-20,,31-Dec-20,"Washington University School of Medicine, Saint Louis, Missouri, United States",,https://ClinicalTrials.gov/show/NCT04360954
524,NCT04876898,High Body Mass Index and Severity of Coronavirus,,Completed,No Results Available,COVID-19 Pneumonia,Other: prospective cohort in high body mass index patient with covid 19,pneumonia|sever pneumonia|ICU admission|length of hospital stay|clinical complication,South Valley University,All,"18 Years to 75 Years Â  (Adult, Older Adult)",,114,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,BMI_COVID19,28-Feb-21,1-Jul-20,242,30-Jan-21,7-May-21,,7-May-21,"Gad sayed Gad, QinÄ, Qena, Egypt",,https://ClinicalTrials.gov/show/NCT04876898
525,NCT04355728,Use of UC-MSCs for COVID-19 Patients,,Completed,No Results Available,"Corona Virus Infection|ARDS|ARDS, Human|Acute Respiratory Distress Syndrome|COVID-19",Biological: Umbilical Cord Mesenchymal Stem Cells + Heparin along with best supportive care.|Other: Vehicle + Heparin along with best supportive care,Incidence of pre-specified infusion associated adverse events|Incidence of Severe Adverse Events|Survival rate after 90 days post first infusion|Ventilator-Free Days|Change in Oxygenation Index (OI)|Plat-PEEP|Sequential Organ Failure Assessment (SOFA) Scores|Small Identification Test (SIT) scores|Troponin I levels|C-Reactive Protein levels|Arachidonic Acid (AA)/Eicosapentaenoic Acid (EPA) Ratio|D-dimer levels|25-Hydroxy Vitamin D levels|Alloantibodies levels|Blood white cell count|Platelets count,Camillo Ricordi|University of Miami,All,"18 Years and older Â  (Adult, Older Adult)",Phase 1|Phase 2,24,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",20200671|20200370,31-Oct-20,25-Apr-20,189,31-Oct-20,21-Apr-20,,1-Mar-21,"Diabetes Research Institute, University of Miami Miller School of Medicine, Miami, Florida, United States",,https://ClinicalTrials.gov/show/NCT04355728
526,NCT04376710,Surgical Telemedicine in the COVID-19 Pandemic Era,,Completed,No Results Available,COVID|Surgery,Other: Completion of pre-pandemic survey|Other: Completion of survey after peak of pandemic|Other: Completion of post telemedicine encounter survey,Evaluate surgeon perceptions to telemedicine and perceived barriers to implementation|Evaluate patient perceptions to telemedicine and perceived barriers to implementation,"University of Colorado, Denver",All,"31 Days to 18 Years Â  (Child, Adult)",,180,Other,Observational,Observational Model: Other|Time Perspective: Prospective,20-1177,1-Oct-20,1-Jul-20,92,1-Oct-20,6-May-20,,28-Oct-20,"Children's Hospital Colorado, Aurora, Colorado, United States",,https://ClinicalTrials.gov/show/NCT04376710
527,NCT04527354,Pilot Study to Assess Efficacy and Safety of Treamid in the Rehabilitation of Patients After COVID-19 Pneumonia,,Completed,No Results Available,SARS-CoV-2 Infection|Fibrosis Lung,Drug: Treamid|Drug: Placebo,"Rate of clinically significant change in FVC and/or DLCO at Week 4 relative to the baseline value|Change in distance covered for 6 minutes (6MWD) at Weeks 2 and 4 from the baseline value (based on 6-minute walk test)|Change in the score of the Borg scale at Weeks 2 and 4 from the baseline value (based on the 6-minute walk test)|Change in forced expiratory volume for the first second (FEV1) according to spirometry data at Weeks 1, 2, 3 and 4 relative to the baseline values|Change in FVC according to spirometry data at Weeks 1, 2, 3 and 4 relative to the baseline values|Change in FEV1/FVC according to spirometry data at Weeks 1, 2, 3 and 4 relative to the baseline values|Change in DLCO according to bodyplethysmography at Week 2 and Week 4 relative to baseline values|Change in Total Lung Capacity (TLC) according to bodyplethysmography at Week 2 and Week 4 relative to baseline values|Change in Functional Residual Capacity (FRC) according to bodyplethysmography at Week 2 and Week 4 relative to baseline values|The rate of reduction in the lung damage degree based on the computed tomography (CT) at Week 4 relative to the baseline value|Change in mMRC Dyspnea Score in Week 1, Week 2, Week 3, and Week 4 from the baseline value|Change in the overall score of the KBILD Questionnaire at Week 2 and Week 4 relative to the baseline value",PHARMENTERPRISES LLC,All,"18 Years to 75 Years Â  (Adult, Older Adult)",Phase 2,60,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",COVID-TRE-03,10-Feb-21,1-Sep-20,162,10-Feb-21,26-Aug-20,,5-Apr-21,"Federal State-Funded Research Institution ""Research Institute of Complex Cardiovascular Diseases"", Kemerovo, Russian Federation|Federal State Budgetary Institution ""N.N. Burdenko Military Clinical Hospital"", Moscow, Russian Federation|SBEI HPE The First Moscow State Medical University n.a. Sechenov of Ministry of Health of Russian Federation, University Hospital #2, Department of Development of New Medicines, Moscow, Russian Federation|Moscow State Medical-Dentist University n.a. A.I. Evdokimov on basis of SMHI ""City Hospital â„– 62"", branch 5, Moscow, Russian Federation|State Budgetary Health Institution ""Republican Hospital named V.A.Baranov"", Petrozavodsk, Russian Federation|Federal State Budgetary Educational Institution of Higher Education ""Rostov State Medical University"", Rostov-on-Don, Russian Federation|LLC ""Medical Center ""Reavita Med St. Petersburg"", Saint Petersburg, Russian Federation|State autonomous healthcare institution of Yaroslavl Region ""Ð¡linical hospital for emergency medical care n. a. N.V. Solovyov"", Yaroslavl, Russian Federation",,https://ClinicalTrials.gov/show/NCT04527354
528,NCT04497818,Correlation Fear of COVID-19 & Dental Treatment Anxiety,,Completed,No Results Available,Covid19|Fear|Dental Anxiety,Other: Cross Sectional study using scientifically validated psychometric Scales,Fear of COVID-19 infection|Dental Anxiety|Correlation of Fear of COVID-19 infection & Dental Anxiety|Correlation of the nearest Dental treatment seeking time and Fear of COVID-19 infection.|Correlation of the nearest Dental treatment seeking time and Dental Anxiety|Correlation of the Age and Fear of COVID-19 infection|Correlation of the Age and Dental Anxiety.,Qassim University,All,"20 Years and older Â  (Adult, Older Adult)",,385,Other,Observational,Observational Model: Other|Time Perspective: Prospective,QassimU2,25-Jul-20,16-Jun-20,39,16-Jul-20,4-Aug-20,,4-Aug-20,"Dr Bugude Shiva Shankar, Ar Rass, Al Qassim, Saudi Arabia",,https://ClinicalTrials.gov/show/NCT04497818
529,NCT04643522,Semen Parameters and COVID-19 in Infertile Men,,Completed,No Results Available,"Sperm Count, Low|Hormone Disturbance|Covid19",Other: Clinical assessment,"Semen analyses parameters including sperm motility (total, progressive, non-progressive and immotile|Semen analyses parameters including sperm concentration|Semen analyses parameters including sperm morphology|Semen analyses parameters including semen volume|Sex-related hormone levels including testosterone|Sex-related hormone levels including follicle stimulating hormone and luteinizing hormone",Ankara City Hospital Bilkent,Male,18 Years to 40 Years Â  (Adult),,21,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,E1-20-1237,10-Oct-20,7-Jan-20,277,5-Oct-20,25-Nov-20,,30-Nov-20,"Ankara City Hospital, Ankara, Turkey",,https://ClinicalTrials.gov/show/NCT04643522
530,NCT04872725,The Effect of Covid-19 Process,,Completed,No Results Available,"Covid19|Participation, Patient",Behavioral: Time management & participation & the leisure time activity,Assessment of Time Management Skills|Social Isolation Questionnaire|Interest Checklist,Istanbul Medipol University Hospital,All,"18 Years to 65 Years Â  (Adult, Older Adult)",,531,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,Covid-19 OT,30-Jul-20,1-Mar-20,151,30-Jun-20,4-May-21,,11-May-21,"Istanbul Medipol University, Beykoz, Ä°stanbul, Turkey",,https://ClinicalTrials.gov/show/NCT04872725
531,NCT04535856,Therapeutic Study to Evaluate the Safety and Efficacy of DW-MSC in COVID-19 Patients,DW-MSC,Completed,No Results Available,Covid19|Corona Virus Infection|SAR,Drug: allogeneic mesenchymal stem cell|Other: Placebo,Incidence of TEAE* in Treatment group|Survival rate|Duration of hospitalization|Clinical improvement Ordinal scale|Clinical improvement National EWS|Clinical improvement Oxygenation index|Clinical improvement Lung involvement change|Clinical improvement Inflammation markers change,"Ina-Respond|National Institute of Health Research and Development, Ministry of Health Republic of Indonesia|Daewoong Pharmaceutical Co. LTD.",All,"19 Years and older Â  (Adult, Older Adult)",Phase 1,9,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",DW_DWP710101|U1111-1263-1723,14-Jan-21,14-Nov-20,61,14-Jan-21,2-Sep-20,,27-Jan-21,"Site 550: University of Hassanudin/ Dr. Wahidin Sudirohusodo Hospital, Makassar, Indonesia",,https://ClinicalTrials.gov/show/NCT04535856
532,NCT04371562,Predicting Death and ICU Admission in COVID-19 Patients in ED,,Completed,No Results Available,COVID,,7-day death|7-day ICU,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,All,"18 Years and older Â  (Adult, Older Adult)",,300,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,0017055/20,15-Apr-20,1-Mar-20,45,31-Mar-20,1-May-20,,5-May-20,"Marcello Covino, Roma, RM, Italy",,https://ClinicalTrials.gov/show/NCT04371562
533,NCT04318431,Prevalence of SARS -Cov2 Carriage in Asymptomatic and Mildly-symptomatic Children,COVILLE,Completed,No Results Available,Covid19,Diagnostic Test: Data collection and rhinopharyngeal swab,Proportion of asymptomatic children or children with mild respiratory symptoms|Confirmed Cov2-SARS cases by age|Confirmed Cov2-SARS cases by symptoms|Viral load|Other respiratory viruses|Sars-Cov2 IgM|Sars-Cov2 IgG,Centre Hospitalier Intercommunal Creteil|Association Clinique ThÃ©rapeutique Infantile du val de Marne,All,up to 15 Years Â  (Child),Not Applicable,605,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,COVILLE|2020-A00724-35,1-Jun-20,14-Apr-20,48,12-May-20,24-Mar-20,,9-Jul-20,"Cabinet du Dr Belaroussi, Boulogne, France|Cabinet du Dr Derkx, Champigny-sur-Marne, France|Cabinet du Dr Coicadan, ChenneviÃ¨res-sur-Marne, France|14 Av renÃ© Samuel, Clamart, France|Cabinet du Dr Corrard, Combs-la-Ville, France|10 rue Delambre, Lagny-sur-Marne, France|157 Avenue du GÃ©nÃ©ral Leclerc, Maisons-Alfort, France|21 Grande Rue Charles de Gaulle, Nogent-sur-Marne, France|Cabinet du Dr Deberdt, Nogent-sur-Marne, France|Cabinet du Dr Wollner, Nogent-sur-Marne, France|4 allÃ©e des Norottes, Noisy-le-Grand, France|Cabinet du Dr D'acremont, Paris, France|146 Avenue Ledru Rollin, Paris, France|132 Boulevard du Montparnasse, Paris, France|Cabinet du Dr Romain, Paris, France|Cabinet du Dr Turberg-Romain, Paris, France|15 Quai Louis BlÃ©riot, Paris, France|Cabinet du Dr Michot, Paris, France|24 rue Volta, Puteaux, France|Cabinet du Dr Cohen, Saint-Maur-des-FossÃ©s, France|Cabinet de PÃ©diatrie des Docteurs Ravilly et Bessa, Villejuif, France|13 Villa BeausÃ©jour, Vincennes, France",,https://ClinicalTrials.gov/show/NCT04318431
534,NCT04423991,Identification of a Responsive Subpopulation to Hydroxychloroquine in COVID-19 Patients Using Machine Learning,IDENTIFY,Completed,No Results Available,COVID-19|Coronavirus|Mortality,Device: COViage,Mortality outcome,Dascena,All,"Child, Adult, Older Adult",Not Applicable,290,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,60820,4-Jun-20,10-Mar-20,86,4-Jun-20,9-Jun-20,,9-Jun-20,"Dascena, Oakland, California, United States",,https://ClinicalTrials.gov/show/NCT04423991
535,NCT04378712,Hydrogen/Oxygen Mixed Gas Inhalation for Coronavirus Disease 2019 (COVID-19),,Completed,No Results Available,Covid-19|Hydrogen/Oxygen Mixed Gas|Dyspnea,Device: Hydrogen Oxygen Generator with Nebulizer|Other: Standard-of-care,The proportion of patients with improved disease severity at day 2|The proportion of patients with improved disease severity at day 3|The proportion of patients with improved disease severity at the day before hospital discharge|The change from baseline in oxygen saturation at day 2.|The change from baseline in oxygen saturation at day 3.|The change from baseline in oxygen saturation at the day before hospital discharge|The change from baseline in dyspnea scale at day 2.|The change from baseline in dyspnea scale at day 3.|The change from baseline in dyspnea scale at the day before hospital discharge.|The change from baseline in cough scale at day 2|The change from baseline in cough scale at day 3|The change from baseline in cough scale at the day before hospital discharge|The change from baseline in chest pain scale at day 2.|The change from baseline in chest pain scale at day 3.|The change from baseline in chest pain scale at the day before hospital discharge.|The change from baseline in chest distress scale at day 2.|The change from baseline in chest distress scale at day 3.|The change from baseline in chest distress scale at the day before hospital discharge.,Guangzhou Institute of Respiratory Disease,All,"18 Years to 75 Years Â  (Adult, Older Adult)",Not Applicable,90,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,JT202005LZ,23-Mar-20,21-Jan-20,62,23-Mar-20,7-May-20,,15-May-20,"First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China",,https://ClinicalTrials.gov/show/NCT04378712
536,NCT04466462,Cross-sectional Study of COVID-19 Infection in Hospital Health Personnel,,Completed,No Results Available,SARS-CoV-2 Infection,,Number of participants with past SARS-CoV-2 infection|Number of infections in health personnel who have taken voluntary hydroxychloroquine as a prevention strategy for COVID-19 infection|Number of infections in health personnel based on the degree of exposure to patients infected with COVID-19.|Number of infected participants who are active smokers and/or have chronic lung disease and/ or have history of hypertension.Relationship of degree of exposure to participants infected with SARS-CoV-2 admitted to the hospital.Professional category.|Number of participants infected with SARS-CoV-2 that presented symptoms and their grade. Number of participants infected with SARS-CoV-2 who required hospitalization. Number of participants infected with SARS-CoV-2 who received treatment.|Number of family members infected from each participant with SARS-CoV-2 infection,"FundaciÃ³n FLS de Lucha Contra el Sida, las Enfermedades Infecciosas y la PromociÃ³n de la Salud y la Ciencia",All,"18 Years and older Â  (Adult, Older Adult)",,1000,Other,Observational,Observational Model: Case-Crossover|Time Perspective: Other,COVID-Hosp,30-Jun-20,26-May-20,35,30-Jun-20,10-Jul-20,,10-Jul-20,"Germans Trias i Pujol Hospital, Badalona, Barcelona, Spain|Hospital Municipal de Badalona, Badalona, Barcelona, Spain",,https://ClinicalTrials.gov/show/NCT04466462
537,NCT04390022,Sars-CoV-2/COVID-19 Ivermectin Navarra-ISGlobal Trial,SAINT,Completed,Has Results,Covid-19|Coronavirus Infection|SARS-CoV-2 Infection,Drug: Ivermectin|Drug: Placebo,"Proportion of Patients With a Positive SARS-CoV-2 PCR|Median Viral Load|Fever and Cough Progression|Seroconversion at Day 21|Proportion of Drug-related Adverse Events|Levels of IgG, IgM and IgA|Frequency of Innate Immune Cells|Frequency SARS-CoV-2-specific CD4+ T and and CD8+ T Cells|Results From Cytokine Human Magnetic 30-Plex Panel","Clinica Universidad de Navarra, Universidad de Navarra|Barcelona Institute for Global Health",All,18 Years to 59 Years Â  (Adult),Phase 2,24,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",SAINT,9-Oct-20,31-Jul-20,70,17-Sep-20,15-May-20,17-Dec-20,17-Dec-20,"Clinica Universidad de Navarra, Pamplona, Navarra, Spain","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/22/NCT04390022/SAP_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/22/NCT04390022/Prot_001.pdf",https://ClinicalTrials.gov/show/NCT04390022
538,NCT04615676,Prospective Evaluation of the Predictive Criteria of Severity for Respiratory Infection Due to COVID-19 Virus,COPREG,Completed,No Results Available,SARS-CoV2,Other: Follow-up phone call,Hospitalization,"University Hospital, Toulouse",All,"15 Years and older Â  (Child, Adult, Older Adult)",,4734,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,RC31/20/0141,17-Jul-20,27-Apr-20,81,17-Jul-20,4-Nov-20,,9-Nov-20,"University Hospital of Toulouse, Toulouse, France",,https://ClinicalTrials.gov/show/NCT04615676
